factor,Flan,EleutherAI,Opt,OpenAI,Llama,BigScience,GLM
Flan,0.8801137705696492,0.17466672954039705,0.418304559306962,0.6835013316866947,0.6637139641592811,0.8852720457817389,0.8212761056291473
EleutherAI,0.055988015757516024,0.8721325717795204,0.9631458316990761,0.34634608090467495,0.24244607987962172,0.3297706793617824,0.42062704967109626
Opt,0.2742675252653529,0.8036715526021531,0.955650917035636,0.7362645601269207,0.5235157674264539,0.555834654989337,0.5934346826259782
OpenAI,0.12843295452464795,0.17239886134509816,0.33962592612942755,0.7523128184300325,0.23817553598707242,0.1708382865432419,0.35960512984462023
Llama,0.14909862605903745,0.26735945866551614,0.2783555661060499,0.3962207217136109,0.677637772600379,0.32809278770726596,0.6382926893713368
BigScience,0.5844407963936601,0.3416843885288884,0.4965865265255675,0.44096675995755186,0.5782173085764309,0.8106467296548986,0.755494594445935
GLM,0.042701334276524575,0.4982502687742782,0.400641433108449,0.43894815674731846,0.6372400184513154,0.2800727675306581,0.747820414299874
