factor,Flan,EleutherAI,Opt,OpenAI,Llama,BigScience,GLM
Flan,0.9586714834941785,0.5363658537417402,0.8171123596655511,0.8651817056072375,0.9541139186529258,0.9754702547255739,0.9790159275974879
EleutherAI,0.5167629804745644,0.9803388494877856,0.997079940460555,0.9339418614832325,0.7625076613256282,0.8889370457928378,0.8701733648542159
Opt,0.5365839759220065,0.9088779865417383,0.9816021602531574,0.8723682744792247,0.6791502151589041,0.7889787275300253,0.7640049261693465
OpenAI,0.6266833204123237,0.5030372348401464,0.7414809072143898,0.9327389668935022,0.7015278695009938,0.7085793908302306,0.7546443851035116
Llama,0.6026027970356204,0.599886223780558,0.5699945104080892,0.7820576672776052,0.874946874916992,0.7403843599755624,0.8707710220380553
BigScience,0.8240109707446808,0.6502798093971631,0.8182362465524036,0.8382923315602836,0.9446460672773838,0.9706692646769111,0.9649822695035463
GLM,0.6012038073908176,0.7732933101074199,0.8145607813860893,0.9055773298494463,0.9227012566878189,0.8996775330761894,0.9573223839741197
