factor,OpenAI,Flan,EleutherAI,BigScience,Opt,Llama,GLM
OpenAI,0.9731053242467718,0.5654327252441592,0.2735118677225187,0.664862170093008,0.5061280818437904,0.7956821675379036,0.8577011241412517
Flan,0.9694999504361291,0.9982067933328993,0.43326461430508667,0.9743689823559725,0.9719618160760263,0.7898903816488285,0.9530557626577904
EleutherAI,0.17532653471133686,0.3292314527547368,0.9467148433367859,0.8767941253196417,0.9765269556933991,0.06571658610885432,0.1082740048364516
BigScience,0.7876968209392985,0.7988883806368939,0.5649719487687486,0.9882273050834186,0.9676908398807035,0.5809670271065468,0.7263517267595686
Opt,0.6159279158439889,0.5602528086653789,0.9190135187987064,0.9317615843978728,0.9761478451435784,0.5005176555628845,0.5439919067352286
Llama,0.4146372449042025,0.17044333392205013,0.08311600647715371,0.13709051821153173,0.12391356536947751,0.9334498781169597,0.9656766772857213
GLM,0.23455985939320798,0.14097416815147085,0.020915145352441065,0.08361687390079137,0.06729480365971298,0.9298524642789618,0.9868298931301746
