factor,OpenAI,Flan,EleutherAI,BigScience,Opt,Llama,GLM
OpenAI,0.9902241273932001,0.7171020752189994,0.5972214577795621,0.8152217980914475,0.6547372241845916,0.9336301889018755,0.9588639914411201
Flan,0.9834422803403833,0.9996962967181064,0.8693571897497524,0.9903102944285501,0.986376551488506,0.9605179188208981,0.9970971464327628
EleutherAI,0.598569358810268,0.6681317419994759,0.9971694701256738,0.9837942960599978,0.9984255583637068,0.5328629499448838,0.4956567500665944
BigScience,0.9130024681605136,0.8805138349731978,0.9058418887957168,0.9981761297473238,0.9863900427476335,0.9001754800609971,0.8933435211056322
Opt,0.7955497221545837,0.6717807248330652,0.9697115831942621,0.9694684808279734,0.9879062511754239,0.7343488994074874,0.7205280943585601
Llama,0.8724674486533152,0.46540651990797194,0.3323778512549084,0.5223607950616663,0.46748008364658894,0.9877639624009421,0.994527769745582
GLM,0.9262453512211498,0.5353453867490654,0.2989592602370918,0.548107731069977,0.45276253988741877,0.9949837190882689,0.9995338998243161
