factor,BigScience,Opt,OpenAI,EleutherAI,Llama,Flan,GLM
BigScience,0.6099836229369314,0.7516605377534853,0.45693921169800605,0.5508620876714101,0.184966992187695,0.5244333598579466,0.23290314597148107
Opt,0.6829523582255586,0.9328717623829589,0.5314849467708939,0.8593438811261342,0.3685158005573286,0.48176710848822407,0.32204332401361235
OpenAI,0.6301409299083683,0.6283034803551628,0.9752451822723198,0.23705941123279475,0.5562276214460141,0.6039556268127099,0.6583016809315516
EleutherAI,0.22661073310739,0.8192715257603798,0.0609875464821919,0.899541401914832,0.06711969670574036,0.06509535758564272,0.045463884031845946
Llama,0.16302267568979192,0.12724381410456953,0.3706819690065213,0.09667074470380146,0.944714342146285,0.10401075234638436,0.9277179466046678
Flan,0.7818695458654386,0.7242301736057245,0.7132109955519659,0.36406113300525506,0.3459798221642579,0.7971922211636528,0.5185689684639953
GLM,0.053385689127516796,0.03408629111479272,0.1869641313220308,0.025460177883825243,0.9297985460862735,0.03766116130419819,0.9323853288907068
