factor,BigScience,Opt,OpenAI,EleutherAI,Llama,Flan,GLM
BigScience,0.9557621425598953,0.9768054069318115,0.9015442007015041,0.9070730039831164,0.7856418316390227,0.8194778847868736,0.8037181945187564
Opt,0.9272633220187795,0.9828295401855538,0.8409254171670478,0.9456968442935837,0.7630109751780503,0.7590932271702833,0.7033832160750746
OpenAI,0.9144174036778477,0.8905727354598242,0.993586791639016,0.5648631123204456,0.8643601762406622,0.8718998400199842,0.9178463806637215
EleutherAI,0.9188446136318673,0.9891153817291226,0.6321299195677534,0.9882830887619983,0.6821323072934787,0.5622377765498046,0.5186344937680358
Llama,0.6965585219330538,0.49159704215883987,0.8773248183360544,0.4260179583213291,0.985997737870397,0.4743362997108316,0.9793273899079142
Flan,0.9685683465843133,0.9418643362463588,0.953959962327792,0.832715684341941,0.8186225551394091,0.9741211643340562,0.8943086492761241
GLM,0.7112879733666251,0.5142166042446941,0.9220973782771534,0.4133426966292135,0.9903922180607574,0.5754993757802747,0.9949698293799417
